id,X_grid,Y_grid,N_count,V_mean,V_sigma,h1,h2,h3,h4,v0_cell,s_cell,nonempty
127,-5.0,-0.76666665,0.0,0.0,0.0,-0.21853651,-0.051751822,-0.07755671,-0.054260917,170.29155,39.417965,False
128,-4.6,-0.76666665,56.0,156.92494,31.20378,-0.07155091,0.14649545,-0.17004439,-0.24406436,158.96132,28.460651,True
129,-4.2,-0.76666665,71.0,146.23708,38.673412,0.32997766,-0.060520556,-0.07994733,-0.0615012,132.01837,43.08977,True
130,-3.8000002,-0.76666665,91.0,136.51556,42.548294,-0.13794361,-0.09841724,0.052887753,-0.074558504,142.91263,46.374813,True
131,-3.4,-0.76666665,90.0,132.6764,43.817825,0.13723247,0.05869463,0.023045583,-0.098784685,126.84731,42.476086,True
132,-2.9999995,-0.76666665,166.0,124.41474,45.851097,0.043522105,0.07448318,-0.08686526,0.0060557304,122.51503,43.649105,True
133,-2.5999997,-0.76666665,152.0,109.83096,49.178665,0.17895861,-0.017701762,-0.10827992,-0.05531519,100.767624,50.644806,True
134,-2.1999998,-0.76666665,172.0,95.321686,50.565968,0.05602965,0.10201012,-0.06636018,-0.0906682,92.66946,47.336044,True
135,-1.8000001,-0.76666665,202.0,82.50384,53.071873,0.13469048,-0.10177301,-0.068267934,0.00982202,74.69482,57.9776,True
136,-1.4,-0.76666665,263.0,69.02667,55.169003,0.046592254,-0.05198131,-0.030190231,-0.05211767,66.35306,57.3832,True
137,-0.99999964,-0.76666665,274.0,52.548122,54.45187,0.08095408,-0.06052334,-0.03917933,-0.068289176,47.921715,57.14852,True
138,-0.59999967,-0.76666665,279.0,36.96457,62.99361,-0.08724762,0.0055503184,-0.07662757,0.047412984,42.45997,62.986145,True
139,-0.19999993,-0.76666665,291.0,16.537855,64.81323,-0.03720218,-0.068026066,-0.08486055,0.080583334,19.07607,68.227745,True
140,0.20000029,-0.76666665,328.0,-6.9575024,61.846794,0.045560006,-0.06648374,0.06559208,0.04712517,-9.921244,65.05139,True
141,0.6000004,-0.76666665,270.0,-36.423203,60.527344,-0.007808816,0.023909487,0.09838024,-0.011556268,-35.95835,59.531033,True
142,1.0,-0.76666665,278.0,-49.37654,58.55625,0.032275166,0.035892595,-0.04896281,0.0075153993,-51.22116,57.15273,True
143,1.4000001,-0.76666665,236.0,-66.3314,56.179817,0.004881188,-0.07459495,0.08498753,-0.07001009,-66.621346,59.40111,True
144,1.8000002,-0.76666665,211.0,-81.65026,55.85929,0.0326687,-0.025591187,-0.02514929,-0.121214524,-83.5101,56.929882,True
145,2.2000003,-0.76666665,163.0,-94.231155,49.6348,0.047025215,-0.015849575,0.072103776,0.020749316,-96.59453,50.25749,True
146,2.6000004,-0.76666665,158.0,-106.846275,50.16939,0.06008109,0.06913449,-0.038977124,-0.06818138,-109.72792,47.962013,True
147,3.0,-0.76666665,136.0,-122.03807,44.75993,-0.10713751,-0.006072181,0.035680372,-0.0031166824,-117.19378,45.21584,True
148,3.4,-0.76666665,108.0,-134.99524,44.054432,-0.08165761,-0.08212857,-0.06633179,0.053151455,-131.15425,47.03753,True
149,3.8000002,-0.76666665,93.0,-144.53429,37.834473,0.008049641,-0.14716993,0.124121584,0.012902591,-144.87653,42.51865,True
150,4.2000003,-0.76666665,80.0,-153.56764,36.579136,0.05020439,0.015489557,0.058959104,-0.08482237,-155.38654,36.229633,True
