id,R_grid,z_grid,phi_grid,N_count
124,4.5,-1.25,-0.52359873,36.0
125,5.5,-1.25,-0.52359873,19.0
126,6.5,-1.25,-0.52359873,10.0
127,7.5,-1.25,-0.52359873,2.0
128,8.5,-1.25,-0.52359873,1.0
129,9.5,-1.25,-0.52359873,2.0
130,0.5,-0.75,-0.52359873,667.0
131,1.5,-0.75,-0.52359873,1543.0
132,2.5,-0.75,-0.52359873,1782.0
133,3.5,-0.75,-0.52359873,1516.0
134,4.5,-0.75,-0.52359873,1189.0
135,5.5,-0.75,-0.52359873,815.0
136,6.5,-0.75,-0.52359873,537.0
137,7.5,-0.75,-0.52359873,345.0
138,8.5,-0.75,-0.52359873,187.0
139,9.5,-0.75,-0.52359873,123.0
140,0.5,-0.24999997,-0.52359873,3794.0
141,1.5,-0.24999997,-0.52359873,8347.0
142,2.5,-0.24999997,-0.52359873,9927.0
143,3.5,-0.24999997,-0.52359873,9946.0
144,4.5,-0.24999997,-0.52359873,8897.0
145,5.5,-0.24999997,-0.52359873,7415.0
146,6.5,-0.24999997,-0.52359873,6196.0
147,7.5,-0.24999997,-0.52359873,4857.0
148,8.5,-0.24999997,-0.52359873,3750.0
149,9.5,-0.24999997,-0.52359873,2811.0
150,0.5,0.25,-0.52359873,3822.0
151,1.5,0.25,-0.52359873,8362.0
152,2.5,0.25,-0.52359873,10048.0
153,3.5,0.25,-0.52359873,10040.0
154,4.5,0.25,-0.52359873,9065.0
155,5.5,0.25,-0.52359873,7611.0
156,6.5,0.25,-0.52359873,6133.0
157,7.5,0.25,-0.52359873,4834.0
158,8.5,0.25,-0.52359873,3746.0
159,9.5,0.25,-0.52359873,2784.0
160,0.5,0.75,-0.52359873,701.0
161,1.5,0.75,-0.52359873,1533.0
162,2.5,0.75,-0.52359873,1737.0
163,3.5,0.75,-0.52359873,1513.0
164,4.5,0.75,-0.52359873,1146.0
165,5.5,0.75,-0.52359873,821.0
166,6.5,0.75,-0.52359873,515.0
167,7.5,0.75,-0.52359873,343.0
168,8.5,0.75,-0.52359873,175.0
169,9.5,0.75,-0.52359873,107.0
170,0.5,1.25,-0.52359873,33.0
171,1.5,1.25,-0.52359873,81.0
172,2.5,1.25,-0.52359873,91.0
173,3.5,1.25,-0.52359873,66.0
174,4.5,1.25,-0.52359873,36.0
175,5.5,1.25,-0.52359873,21.0
176,6.5,1.25,-0.52359873,13.0
177,7.5,1.25,-0.52359873,0.0
178,8.5,1.25,-0.52359873,3.0
179,9.5,1.25,-0.52359873,1.0
180,0.5,-1.25,0.52359885,38.0
181,1.5,-1.25,0.52359885,110.0
182,2.5,-1.25,0.52359885,93.0
183,3.5,-1.25,0.52359885,74.0
184,4.5,-1.25,0.52359885,35.0
185,5.5,-1.25,0.52359885,18.0
186,6.5,-1.25,0.52359885,7.0
187,7.5,-1.25,0.52359885,3.0
188,8.5,-1.25,0.52359885,0.0
189,9.5,-1.25,0.52359885,1.0
190,0.5,-0.75,0.52359885,676.0
191,1.5,-0.75,0.52359885,1623.0
192,2.5,-0.75,0.52359885,1653.0
193,3.5,-0.75,0.52359885,1505.0
194,4.5,-0.75,0.52359885,1172.0
195,5.5,-0.75,0.52359885,814.0
196,6.5,-0.75,0.52359885,569.0
197,7.5,-0.75,0.52359885,327.0
198,8.5,-0.75,0.52359885,208.0
199,9.5,-0.75,0.52359885,106.0
200,0.5,-0.24999997,0.52359885,3838.0
201,1.5,-0.24999997,0.52359885,8410.0
202,2.5,-0.24999997,0.52359885,10184.0
203,3.5,-0.24999997,0.52359885,10126.0
204,4.5,-0.24999997,0.52359885,8957.0
205,5.5,-0.24999997,0.52359885,7720.0
206,6.5,-0.24999997,0.52359885,6053.0
207,7.5,-0.24999997,0.52359885,4911.0
208,8.5,-0.24999997,0.52359885,3674.0
209,9.5,-0.24999997,0.52359885,2871.0
210,0.5,0.25,0.52359885,3865.0
211,1.5,0.25,0.52359885,8404.0
212,2.5,0.25,0.52359885,10105.0
213,3.5,0.25,0.52359885,10035.0
214,4.5,0.25,0.52359885,8946.0
215,5.5,0.25,0.52359885,7466.0
216,6.5,0.25,0.52359885,6184.0
217,7.5,0.25,0.52359885,4925.0
218,8.5,0.25,0.52359885,3734.0
219,9.5,0.25,0.52359885,2828.0
220,0.5,0.75,0.52359885,686.0
221,1.5,0.75,0.52359885,1588.0
222,2.5,0.75,0.52359885,1739.0
223,3.5,0.75,0.52359885,1465.0
224,4.5,0.75,0.52359885,1096.0
225,5.5,0.75,0.52359885,792.0
226,6.5,0.75,0.52359885,552.0
227,7.5,0.75,0.52359885,349.0
228,8.5,0.75,0.52359885,199.0
229,9.5,0.75,0.52359885,108.0
230,0.5,1.25,0.52359885,46.0
231,1.5,1.25,0.52359885,88.0
232,2.5,1.25,0.52359885,88.0
233,3.5,1.25,0.52359885,75.0
234,4.5,1.25,0.52359885,37.0
235,5.5,1.25,0.52359885,27.0
236,6.5,1.25,0.52359885,9.0
237,7.5,1.25,0.52359885,1.0
238,8.5,1.25,0.52359885,2.0
239,9.5,1.25,0.52359885,0.0
240,0.5,-1.25,1.5707965,46.0
241,1.5,-1.25,1.5707965,94.0
242,2.5,-1.25,1.5707965,100.0
243,3.5,-1.25,1.5707965,64.0
244,4.5,-1.25,1.5707965,38.0
245,5.5,-1.25,1.5707965,29.0
246,6.5,-1.25,1.5707965,5.0
247,7.5,-1.25,1.5707965,4.0
248,8.5,-1.25,1.5707965,2.0
249,9.5,-1.25,1.5707965,1.0
250,0.5,-0.75,1.5707965,707.0
251,1.5,-0.75,1.5707965,1583.0
252,2.5,-0.75,1.5707965,1753.0
253,3.5,-0.75,1.5707965,1568.0
254,4.5,-0.75,1.5707965,1132.0
