log_light_to_mass_ratio,log_Omega,log_prob,meff_data
-0.5862069,1.3047578,-2180665.2,-92.95875
-0.6551724,1.3047578,-2248741.5,13.808635
-0.7241379,1.3047578,-2314671.2,-1.7963684
-0.79310346,1.3047578,-2375165.2,-10.96667
-0.86206895,1.3047578,-2431412.2,54.29396
-0.9310345,1.3047578,-2483539.8,17.502342
-1.0,1.3047578,-2529368.2,8.470969
1.0,1.3403758,-175596.0,53.431747
0.9310345,1.3403758,-207900.9,20.397331
0.86206895,1.3403758,-250876.73,3.5974786
0.79310346,1.3403758,-305482.12,5.0105414
0.7241379,1.3403758,-371827.34,57.692783
0.6551724,1.3403758,-449344.8,38.046124
0.5862069,1.3403758,-535934.4,71.585075
0.51724136,1.3403758,-632201.94,8.671343
0.44827586,1.3403758,-734796.44,-52.719696
0.37931034,1.3403758,-846189.06,32.73645
0.31034482,1.3403758,-962349.44,152.52824
0.2413793,1.3403758,-1084009.8,14.676647
0.1724138,1.3403758,-1203416.4,-192.71709
0.10344828,1.3403758,-1314337.8,165.33986
0.03448276,1.3403758,-1414303.0,77.568214
-0.03448276,1.3403758,-1505709.5,-24.145739
-0.10344828,1.3403758,-1591823.1,-134.23183
-0.1724138,1.3403758,-1674407.5,-18.386522
-0.2413793,1.3403758,-1754750.5,14.91164
-0.31034482,1.3403758,-1831081.4,133.58742
-0.37931034,1.3403758,-1904456.8,58.616055
-0.44827586,1.3403758,-1976917.8,-25.840317
-0.51724136,1.3403758,-2048427.6,52.197334
-0.5862069,1.3403758,-2117181.0,28.326862
