id,R_grid,z_grid,phi_grid,mass
116,6.5,2.5,-1.5707963,7922813.0
117,7.5,2.5,-1.5707963,6179031.0
118,8.5,2.5,-1.5707963,4483243.0
119,9.5,2.5,-1.5707963,3407426.5
120,0.5,-2.5,-0.52359873,5203153.0
121,1.5,-2.5,-0.52359873,11525970.0
122,2.5,-2.5,-0.52359873,13829394.0
123,3.5,-2.5,-0.52359873,13157562.0
124,4.5,-2.5,-0.52359873,12277782.0
125,5.5,-2.5,-0.52359873,10278282.0
126,6.5,-2.5,-0.52359873,7838823.5
127,7.5,-2.5,-0.52359873,6315014.0
128,8.5,-2.5,-0.52359873,4311264.5
129,9.5,-2.5,-0.52359873,3419424.2
130,0.5,-1.5,-0.52359873,26384656.0
131,1.5,-1.5,-0.52359873,62908656.0
132,2.5,-1.5,-0.52359873,80168660.0
133,3.5,-1.5,-0.52359873,83856660.0
134,4.5,-1.5,-0.52359873,79760660.0
135,5.5,-1.5,-0.52359873,70952660.0
136,6.5,-1.5,-0.52359873,59928656.0
137,7.5,-1.5,-0.52359873,49588656.0
138,8.5,-1.5,-0.52359873,40396656.0
139,9.5,-1.5,-0.52359873,31764656.0
140,0.5,-0.49999994,-0.52359873,96048660.0
141,1.5,-0.49999994,-0.52359873,229040660.0
142,2.5,-0.49999994,-0.52359873,285236640.0
143,3.5,-0.49999994,-0.52359873,298136640.0
144,4.5,-0.49999994,-0.52359873,283004640.0
145,5.5,-0.49999994,-0.52359873,253444660.0
146,6.5,-0.49999994,-0.52359873,218004660.0
147,7.5,-0.49999994,-0.52359873,182648660.0
148,8.5,-0.49999994,-0.52359873,150096660.0
149,9.5,-0.49999994,-0.52359873,121328660.0
150,0.5,0.5,-0.52359873,95500660.0
151,1.5,0.5,-0.52359873,228236660.0
152,2.5,0.5,-0.52359873,286056640.0
153,3.5,0.5,-0.52359873,298244640.0
154,4.5,0.5,-0.52359873,283188640.0
155,5.5,0.5,-0.52359873,254868660.0
156,6.5,0.5,-0.52359873,218896660.0
157,7.5,0.5,-0.52359873,183412660.0
158,8.5,0.5,-0.52359873,150100660.0
159,9.5,0.5,-0.52359873,120196660.0
160,0.5,1.5,-0.52359873,27248656.0
161,1.5,1.5,-0.52359873,63764656.0
162,2.5,1.5,-0.52359873,79648660.0
163,3.5,1.5,-0.52359873,84104660.0
164,4.5,1.5,-0.52359873,79364660.0
165,5.5,1.5,-0.52359873,71188660.0
166,6.5,1.5,-0.52359873,60920656.0
167,7.5,1.5,-0.52359873,49872656.0
168,8.5,1.5,-0.52359873,39528656.0
169,9.5,1.5,-0.52359873,31572656.0
170,0.5,2.5,-0.52359873,4955184.0
171,1.5,2.5,-0.52359873,11138067.0
172,2.5,2.5,-0.52359873,13657437.0
173,3.5,2.5,-0.52359873,13745415.0
174,4.5,2.5,-0.52359873,12389754.0
175,5.5,2.5,-0.52359873,10206300.0
176,6.5,2.5,-0.52359873,8054796.5
177,7.5,2.5,-0.52359873,6035049.0
178,8.5,2.5,-0.52359873,4483243.0
179,9.5,2.5,-0.52359873,3319443.0
180,0.5,-2.5,0.52359885,5159158.5
181,1.5,-2.5,0.52359885,11322021.0
182,2.5,-2.5,0.52359885,13481481.0
183,3.5,-2.5,0.52359885,13485480.0
184,4.5,-2.5,0.52359885,12161811.0
185,5.5,-2.5,0.52359885,10114323.0
