log_light_to_mass_ratio,log_Omega,log_prob
-0.453125,1.6484375,-544.6591186523438
0.4296875,1.28515625,-177.6014404296875
0.404296875,1.7705078125,-142.4310302734375
0.76171875,1.623046875,-257.27490234375
0.658203125,1.7373046875,-233.64222717285156
0.158203125,1.4873046875,-69.60575866699219
0.900390625,1.5224609375,-358.35247802734375
0.50390625,1.751953125,-196.3573455810547
0.22265625,1.705078125,-98.23267364501953
-0.296875,1.0703125,-314.6368408203125
-0.609375,1.9765625,-1330.59033203125
-0.140625,1.5546875,-91.08106994628906
0.130859375,1.1884765625,-130.9035186767578
-0.17578125,1.591796875,-116.55094146728516
0.17578125,1.587890625,-71.99088287353516
-0.4453125,1.34765625,-538.17919921875
-0.580078125,1.1376953125,-986.5094604492188
-0.306640625,1.9697265625,-593.4729614257812
0.796875,1.5234375,-293.2966003417969
-0.83984375,1.736328125,-1908.68505859375
-0.02734375,1.330078125,-91.32611846923828
0.123046875,1.8173828125,-104.33414459228516
-0.32421875,1.837890625,-324.7357482910156
0.27734375,1.958984375,-200.67669677734375
0.2578125,1.87109375,-141.37689208984375
-0.107421875,1.9794921875,-292.14739990234375
0.5859375,1.61328125,-157.54324340820312
-0.40625,1.515625,-404.77197265625
-0.130859375,1.6943359375,-116.35458374023438
-0.078125,1.9609375,-358.3806457519531
0.705078125,1.3232421875,-265.3646240234375
-0.9453125,1.59765625,-2423.43115234375
-0.685546875,1.9091796875,-1509.2071533203125
0.94921875,1.904296875,-490.37646484375
0.39453125,1.978515625,-255.85916137695312
-0.33984375,1.486328125,-272.5933532714844
-0.287109375,1.1787109375,-293.417236328125
0.40625,1.109375,-205.37213134765625
0.841796875,1.4892578125,-312.5984802246094
0.677734375,1.5869140625,-196.85279846191406
0.091796875,1.1142578125,-150.7660675048828
0.18359375,1.412109375,-86.20881652832031
-0.302734375,1.5302734375,-215.4542694091797
-0.548828125,1.4033203125,-786.0745239257812
0.904296875,1.0205078125,-450.0516052246094
0.1796875,1.91015625,-167.45492553710938
-0.962890625,1.5478515625,-2495.790771484375
-0.26171875,1.369140625,-223.8131561279297
0.701171875,1.5283203125,-252.59642028808594
0.375,1.8125,-138.04913330078125
-0.45703125,1.451171875,-544.7344970703125
0.783203125,1.9248046875,-401.86602783203125
0.947265625,1.6552734375,-424.3153381347656
0.283203125,1.1748046875,-160.3302001953125
0.126953125,1.6904296875,-90.35693359375
-0.779296875,1.4560546875,-1723.060546875
-0.98046875,1.166015625,-2617.9130859375
-0.361328125,1.5595703125,-325.2097473144531
0.255859375,1.3759765625,-111.1859130859375
-0.103515625,1.4775390625,-77.91400909423828
0.5078125,1.74609375,-206.36009216308594
0.943359375,1.8447265625,-435.0790100097656
0.7890625,1.82421875,-325.28900146484375
-0.58984375,1.111328125,-1038.4222412109375
-0.728515625,1.2900390625,-1564.50146484375
0.1953125,1.02734375,-153.71527099609375
-0.99609375,1.501953125,-2619.972900390625
0.8359375,1.23828125,-388.0567626953125
0.8125,1.40625,-322.98486328125
-0.822265625,1.8369140625,-1943.2652587890625
-0.818359375,1.6630859375,-1865.255615234375
