log_light_to_mass_ratio,log_Omega,log_prob
-1.0,1.0,-1549097.75
-0.9411764705882353,1.0,-1378837.5
-0.8823529411764706,1.0,-1205772.625
-0.8235294117647058,1.0,-1034814.625
-0.7647058823529411,1.0,-868801.625
-0.7058823529411764,1.0,-714041.3125
-0.6470588235294118,1.0,-573872.3125
-0.5882352941176471,1.0,-452081.78125
-0.5294117647058824,1.0,-350137.375
-0.47058823529411764,1.0,-268544.90625
-0.4117647058823529,1.0,-205676.84375
-0.3529411764705882,1.0,-159350.796875
-0.2941176470588236,1.0,-126374.3203125
-0.23529411764705888,1.0,-103663.8515625
-0.17647058823529416,1.0,-88602.875
-0.11764705882352944,1.0,-79078.6875
-0.05882352941176472,1.0,-73397.640625
0.0,1.0,-70354.8828125
0.05882352941176472,1.0,-69157.6796875
0.11764705882352944,1.0,-69276.96875
0.17647058823529416,1.0,-70287.1875
0.23529411764705888,1.0,-72031.6015625
0.2941176470588236,1.0,-74365.34375
0.3529411764705883,1.0,-77276.0390625
0.4117647058823528,1.0,-80518.6875
0.47058823529411753,1.0,-84057.4296875
0.5294117647058822,1.0,-87627.5078125
0.588235294117647,1.0,-90930.859375
0.6470588235294117,1.0,-93772.5546875
0.7058823529411764,1.0,-95816.6484375
0.7647058823529411,1.0,-96942.3203125
0.8235294117647058,1.0,-97195.1953125
0.8823529411764706,1.0,-96838.2265625
0.9411764705882353,1.0,-95608.5234375
1.0,1.0,-93804.1640625
-1.0,1.0294117647058822,-1550704.125
-0.9411764705882353,1.0294117647058822,-1382194.25
-0.8823529411764706,1.0294117647058822,-1209986.125
-0.8235294117647058,1.0294117647058822,-1039322.9375
-0.7647058823529411,1.0294117647058822,-873425.5625
-0.7058823529411764,1.0294117647058822,-717193.75
-0.6470588235294118,1.0294117647058822,-576282.9375
-0.5882352941176471,1.0294117647058822,-452515.96875
-0.5294117647058824,1.0294117647058822,-348573.375
-0.47058823529411764,1.0294117647058822,-265865.0
-0.4117647058823529,1.0294117647058822,-202576.34375
-0.3529411764705882,1.0294117647058822,-155766.734375
-0.2941176470588236,1.0294117647058822,-122964.7265625
-0.23529411764705888,1.0294117647058822,-100615.6015625
-0.17647058823529416,1.0294117647058822,-85857.421875
-0.11764705882352944,1.0294117647058822,-76536.4375
-0.05882352941176472,1.0294117647058822,-71078.3515625
0.0,1.0294117647058822,-68229.5234375
0.05882352941176472,1.0294117647058822,-67178.3515625
0.11764705882352944,1.0294117647058822,-67310.1328125
0.17647058823529416,1.0294117647058822,-68294.4765625
0.23529411764705888,1.0294117647058822,-69923.4453125
0.2941176470588236,1.0294117647058822,-72081.2578125
0.3529411764705883,1.0294117647058822,-74740.9140625
0.4117647058823528,1.0294117647058822,-77887.6171875
0.47058823529411753,1.0294117647058822,-81286.7109375
0.5294117647058822,1.0294117647058822,-84707.5625
0.588235294117647,1.0294117647058822,-87892.7578125
0.6470588235294117,1.0294117647058822,-90507.9921875
0.7058823529411764,1.0294117647058822,-92386.6328125
0.7647058823529411,1.0294117647058822,-93176.0234375
0.8235294117647058,1.0294117647058822,-92915.9765625
0.8823529411764706,1.0294117647058822,-92021.6015625
0.9411764705882353,1.0294117647058822,-90789.8359375
1.0,1.0294117647058822,-89630.734375
-1.0,1.0588235294117647,-1553285.75
-0.9411764705882353,1.0588235294117647,-1383974.5
-0.8823529411764706,1.0588235294117647,-1212434.875
-0.8235294117647058,1.0588235294117647,-1042159.0
-0.7647058823529411,1.0588235294117647,-876547.0625
-0.7058823529411764,1.0588235294117647,-720512.5625
-0.6470588235294118,1.0588235294117647,-578220.1875
-0.5882352941176471,1.0588235294117647,-454580.78125
-0.5294117647058824,1.0588235294117647,-351002.09375
-0.47058823529411764,1.0588235294117647,-268555.0
-0.4117647058823529,1.0588235294117647,-205583.1875
-0.3529411764705882,1.0588235294117647,-159383.921875
-0.2941176470588236,1.0588235294117647,-126873.2734375
-0.23529411764705888,1.0588235294117647,-104493.171875
-0.17647058823529416,1.0588235294117647,-89811.84375
-0.11764705882352944,1.0588235294117647,-80418.96875
-0.05882352941176472,1.0588235294117647,-74783.71875
0.0,1.0588235294117647,-71866.8125
0.05882352941176472,1.0588235294117647,-70693.0546875
0.11764705882352944,1.0588235294117647,-70828.765625
0.17647058823529416,1.0588235294117647,-71865.0
0.23529411764705888,1.0588235294117647,-73687.9296875
0.2941176470588236,1.0588235294117647,-76041.15625
0.3529411764705883,1.0588235294117647,-78981.171875
0.4117647058823528,1.0588235294117647,-82361.0390625
0.47058823529411753,1.0588235294117647,-86137.484375
0.5294117647058822,1.0588235294117647,-90035.0703125
0.588235294117647,1.0588235294117647,-93723.140625
0.6470588235294117,1.0588235294117647,-96934.6640625
0.7058823529411764,1.0588235294117647,-99216.3359375
0.7647058823529411,1.0588235294117647,-100352.6953125
0.8235294117647058,1.0588235294117647,-100412.1640625
0.8823529411764706,1.0588235294117647,-99759.140625
0.9411764705882353,1.0588235294117647,-98635.875
1.0,1.0588235294117647,-97580.1015625
-1.0,1.0882352941176472,-1551770.125
-0.9411764705882353,1.0882352941176472,-1383747.375
-0.8823529411764706,1.0882352941176472,-1213797.125
-0.8235294117647058,1.0882352941176472,-1044281.125
-0.7647058823529411,1.0882352941176472,-878757.1875
-0.7058823529411764,1.0882352941176472,-722701.5625
-0.6470588235294118,1.0882352941176472,-581224.875
-0.5882352941176471,1.0882352941176472,-457706.0625
-0.5294117647058824,1.0882352941176472,-354331.28125
-0.47058823529411764,1.0882352941176472,-271501.25
-0.4117647058823529,1.0882352941176472,-208257.328125
-0.3529411764705882,1.0882352941176472,-161724.1875
-0.2941176470588236,1.0882352941176472,-129035.1953125
-0.23529411764705888,1.0882352941176472,-106643.609375
-0.17647058823529416,1.0882352941176472,-91828.8359375
-0.11764705882352944,1.0882352941176472,-82534.3359375
-0.05882352941176472,1.0882352941176472,-77028.546875
0.0,1.0882352941176472,-74127.0390625
0.05882352941176472,1.0882352941176472,-72911.2890625
0.11764705882352944,1.0882352941176472,-73005.34375
0.17647058823529416,1.0882352941176472,-74029.8828125
0.23529411764705888,1.0882352941176472,-75723.1015625
0.2941176470588236,1.0882352941176472,-78022.53125
0.3529411764705883,1.0882352941176472,-80948.3359375
0.4117647058823528,1.0882352941176472,-84352.2421875
0.47058823529411753,1.0882352941176472,-88106.65625
0.5294117647058822,1.0882352941176472,-92049.3203125
0.588235294117647,1.0882352941176472,-95761.96875
0.6470588235294117,1.0882352941176472,-99154.3515625
0.7058823529411764,1.0882352941176472,-101711.953125
0.7647058823529411,1.0882352941176472,-103222.2734375
0.8235294117647058,1.0882352941176472,-103634.7265625
0.8823529411764706,1.0882352941176472,-102976.2109375
0.9411764705882353,1.0882352941176472,-101394.6953125
1.0,1.0882352941176472,-99584.2890625
-1.0,1.1176470588235294,-1563077.625
-0.9411764705882353,1.1176470588235294,-1394575.0
-0.8823529411764706,1.1176470588235294,-1222873.625
-0.8235294117647058,1.1176470588235294,-1050789.0
-0.7647058823529411,1.1176470588235294,-884844.625
-0.7058823529411764,1.1176470588235294,-728349.9375
-0.6470588235294118,1.1176470588235294,-586222.1875
-0.5882352941176471,1.1176470588235294,-461530.5
-0.5294117647058824,1.1176470588235294,-357554.21875
-0.47058823529411764,1.1176470588235294,-274463.5625
-0.4117647058823529,1.1176470588235294,-211326.015625
-0.3529411764705882,1.1176470588235294,-165272.203125
-0.2941176470588236,1.1176470588235294,-132972.703125
-0.23529411764705888,1.1176470588235294,-111422.984375
-0.17647058823529416,1.1176470588235294,-97528.140625
-0.11764705882352944,1.1176470588235294,-88860.40625
-0.05882352941176472,1.1176470588235294,-83806.3046875
0.0,1.1176470588235294,-81125.6953125
0.05882352941176472,1.1176470588235294,-80136.3828125
0.11764705882352944,1.1176470588235294,-80278.1171875
0.17647058823529416,1.1176470588235294,-81262.7578125
0.23529411764705888,1.1176470588235294,-82983.796875
0.2941176470588236,1.1176470588235294,-85439.203125
0.3529411764705883,1.1176470588235294,-88436.5625
0.4117647058823528,1.1176470588235294,-91971.203125
0.47058823529411753,1.1176470588235294,-95869.546875
0.5294117647058822,1.1176470588235294,-99784.9140625
0.588235294117647,1.1176470588235294,-103216.9609375
0.6470588235294117,1.1176470588235294,-105678.5
0.7058823529411764,1.1176470588235294,-107151.4609375
0.7647058823529411,1.1176470588235294,-107476.5546875
0.8235294117647058,1.1176470588235294,-106635.4765625
0.8823529411764706,1.1176470588235294,-105089.6484375
0.9411764705882353,1.1176470588235294,-103202.046875
1.0,1.1176470588235294,-101768.3125
-1.0,1.1470588235294117,-1580508.5
-0.9411764705882353,1.1470588235294117,-1408786.375
-0.8823529411764706,1.1470588235294117,-1234543.5
-0.8235294117647058,1.1470588235294117,-1060906.125
-0.7647058823529411,1.1470588235294117,-892010.125
