log_light_to_mass_ratio,log_Omega,log_prob
-1.0,1.0,-1973435.875
-0.9411764705882353,1.0,-1733934.0
-0.8823529411764706,1.0,-1495373.25
-0.8235294117647058,1.0,-1264370.5
-0.7647058823529411,1.0,-1040747.1875
-0.7058823529411764,1.0,-834744.75
-0.6470588235294118,1.0,-655421.3125
-0.5882352941176471,1.0,-504093.625
-0.5294117647058824,1.0,-382472.59375
-0.47058823529411764,1.0,-287509.96875
-0.4117647058823529,1.0,-217600.375
-0.3529411764705882,1.0,-168035.140625
-0.2941176470588236,1.0,-134063.40625
-0.23529411764705888,1.0,-111647.4296875
-0.17647058823529416,1.0,-97601.3203125
-0.11764705882352944,1.0,-89123.1484375
-0.05882352941176472,1.0,-84237.0078125
0.0,1.0,-81748.4453125
0.05882352941176472,1.0,-80870.5703125
0.11764705882352944,1.0,-81071.5859375
0.17647058823529416,1.0,-82161.4296875
0.23529411764705888,1.0,-83964.6015625
0.2941176470588236,1.0,-86421.5
0.3529411764705883,1.0,-89438.5546875
0.4117647058823528,1.0,-92775.9609375
0.47058823529411753,1.0,-95883.453125
0.5294117647058822,1.0,-98279.2109375
0.588235294117647,1.0,-99921.546875
0.6470588235294117,1.0,-100680.328125
0.7058823529411764,1.0,-100588.9296875
0.7647058823529411,1.0,-99780.0859375
0.8235294117647058,1.0,-98591.71875
0.8823529411764706,1.0,-97122.1640625
0.9411764705882353,1.0,-95611.734375
1.0,1.0,-94665.0859375
-1.0,1.0294117647058822,-2008607.75
-0.9411764705882353,1.0294117647058822,-1763821.875
-0.8823529411764706,1.0294117647058822,-1519200.625
-0.8235294117647058,1.0294117647058822,-1281204.5
-0.7647058823529411,1.0294117647058822,-1052194.625
-0.7058823529411764,1.0294117647058822,-841542.75
-0.6470588235294118,1.0294117647058822,-658302.375
-0.5882352941176471,1.0294117647058822,-504001.46875
-0.5294117647058824,1.0294117647058822,-381468.03125
-0.47058823529411764,1.0294117647058822,-286634.25
-0.4117647058823529,1.0294117647058822,-216855.984375
-0.3529411764705882,1.0294117647058822,-167114.34375
-0.2941176470588236,1.0294117647058822,-133093.59375
-0.23529411764705888,1.0294117647058822,-110638.390625
-0.17647058823529416,1.0294117647058822,-96039.9765625
-0.11764705882352944,1.0294117647058822,-87060.1171875
-0.05882352941176472,1.0294117647058822,-81825.5390625
0.0,1.0294117647058822,-78955.9296875
0.05882352941176472,1.0294117647058822,-77775.3359375
0.11764705882352944,1.0294117647058822,-77812.390625
0.17647058823529416,1.0294117647058822,-78770.1875
0.23529411764705888,1.0294117647058822,-80511.2421875
0.2941176470588236,1.0294117647058822,-83016.328125
0.3529411764705883,1.0294117647058822,-86173.0234375
0.4117647058823528,1.0294117647058822,-89687.6875
0.47058823529411753,1.0294117647058822,-93189.5234375
0.5294117647058822,1.0294117647058822,-96341.7421875
0.588235294117647,1.0294117647058822,-98685.0625
0.6470588235294117,1.0294117647058822,-100080.59375
0.7058823529411764,1.0294117647058822,-100335.796875
0.7647058823529411,1.0294117647058822,-99605.6171875
0.8235294117647058,1.0294117647058822,-98258.2578125
0.8823529411764706,1.0294117647058822,-96585.984375
0.9411764705882353,1.0294117647058822,-94769.75
1.0,1.0294117647058822,-93194.796875
-1.0,1.0588235294117647,-1979543.125
-0.9411764705882353,1.0588235294117647,-1738002.875
-0.8823529411764706,1.0588235294117647,-1497764.5
-0.8235294117647058,1.0588235294117647,-1265202.75
-0.7647058823529411,1.0588235294117647,-1039731.75
-0.7058823529411764,1.0588235294117647,-834771.8125
-0.6470588235294118,1.0588235294117647,-653070.5625
-0.5882352941176471,1.0588235294117647,-501019.0625
-0.5294117647058824,1.0588235294117647,-382030.03125
-0.47058823529411764,1.0588235294117647,-289413.65625
-0.4117647058823529,1.0588235294117647,-220610.15625
-0.3529411764705882,1.0588235294117647,-171706.484375
-0.2941176470588236,1.0588235294117647,-138066.59375
-0.23529411764705888,1.0588235294117647,-116129.96875
-0.17647058823529416,1.0588235294117647,-102226.5234375
-0.11764705882352944,1.0588235294117647,-93828.0859375
-0.05882352941176472,1.0588235294117647,-88864.390625
0.0,1.0588235294117647,-86174.1640625
0.05882352941176472,1.0588235294117647,-85054.1875
0.11764705882352944,1.0588235294117647,-85198.1953125
0.17647058823529416,1.0588235294117647,-86265.0234375
0.23529411764705888,1.0588235294117647,-88126.78125
0.2941176470588236,1.0588235294117647,-90746.2265625
0.3529411764705883,1.0588235294117647,-93849.4375
0.4117647058823528,1.0588235294117647,-97131.0546875
0.47058823529411753,1.0588235294117647,-100186.640625
0.5294117647058822,1.0588235294117647,-102669.734375
0.588235294117647,1.0588235294117647,-104127.9765625
0.6470588235294117,1.0588235294117647,-104484.28125
0.7058823529411764,1.0588235294117647,-103756.71875
0.7647058823529411,1.0588235294117647,-102217.6796875
0.8235294117647058,1.0588235294117647,-100238.8359375
0.8823529411764706,1.0588235294117647,-98173.1015625
0.9411764705882353,1.0588235294117647,-96270.765625
1.0,1.0588235294117647,-94858.484375
-1.0,1.0882352941176472,-1992935.375
-0.9411764705882353,1.0882352941176472,-1748570.75
-0.8823529411764706,1.0882352941176472,-1506420.875
-0.8235294117647058,1.0882352941176472,-1271528.75
-0.7647058823529411,1.0882352941176472,-1045295.875
-0.7058823529411764,1.0882352941176472,-837556.875
-0.6470588235294118,1.0882352941176472,-656906.5625
-0.5882352941176471,1.0882352941176472,-506283.46875
-0.5294117647058824,1.0882352941176472,-386220.53125
-0.47058823529411764,1.0882352941176472,-293721.375
-0.4117647058823529,1.0882352941176472,-226761.03125
-0.3529411764705882,1.0882352941176472,-178538.234375
-0.2941176470588236,1.0882352941176472,-145496.140625
-0.23529411764705888,1.0882352941176472,-123883.8671875
-0.17647058823529416,1.0882352941176472,-109900.7890625
-0.11764705882352944,1.0882352941176472,-101298.078125
-0.05882352941176472,1.0882352941176472,-96343.03125
0.0,1.0882352941176472,-93543.21875
0.05882352941176472,1.0882352941176472,-92168.1796875
0.11764705882352944,1.0882352941176472,-91859.1953125
0.17647058823529416,1.0882352941176472,-92450.0546875
0.23529411764705888,1.0882352941176472,-93786.6328125
0.2941176470588236,1.0882352941176472,-95833.3984375
0.3529411764705883,1.0882352941176472,-98491.3359375
0.4117647058823528,1.0882352941176472,-101500.6484375
0.47058823529411753,1.0882352941176472,-104461.9375
0.5294117647058822,1.0882352941176472,-106916.8046875
0.588235294117647,1.0882352941176472,-108571.8984375
0.6470588235294117,1.0882352941176472,-109235.15625
0.7058823529411764,1.0882352941176472,-109077.5390625
0.7647058823529411,1.0882352941176472,-108059.7890625
0.8235294117647058,1.0882352941176472,-106552.765625
0.8823529411764706,1.0882352941176472,-104800.328125
0.9411764705882353,1.0882352941176472,-103229.6328125
1.0,1.0882352941176472,-101995.4921875
-1.0,1.1176470588235294,-1971663.5
-0.9411764705882353,1.1176470588235294,-1731418.125
